📡央视频道,#genre#
CCTV1综合,https://live.chinacert.cftest5.cn/cnmg/live/608807420
CCTV2财经,https://live.chinacert.cftest5.cn/cnmg/live/631780532
CCTV3综艺,https://live.chinacert.cftest5.cn/cnmg/live/624878271
CCTV4中文国际,https://live.chinacert.cftest5.cn/cnmg/live/631780421
CCTV4欧洲,https://live.chinacert.cftest5.cn/cnmg/live/608807419
CCTV4美洲,https://live.chinacert.cftest5.cn/cnmg/live/608807416
CCTV5体育,https://live.chinacert.cftest5.cn/cnmg/live/641886683
CCTV5+体育赛事,https://live.chinacert.cftest5.cn/cnmg/live/641886773
CCTV6电影,https://live.chinacert.cftest5.cn/cnmg/live/624878396
CCTV7国防军事,https://live.chinacert.cftest5.cn/cnmg/live/673168121
CCTV8电视剧,https://live.chinacert.cftest5.cn/cnmg/live/624878356
CCTV9纪录,https://live.chinacert.cftest5.cn/cnmg/live/673168140
CCTV10科教,https://live.chinacert.cftest5.cn/cnmg/live/624878405
CCTV11戏曲,https://live.chinacert.cftest5.cn/cnmg/live/667987558
CCTV12社会与法,https://live.chinacert.cftest5.cn/cnmg/live/673168185
CCTV13新闻,https://live.chinacert.cftest5.cn/cnmg/live/608807423
CCTV14少儿,https://live.chinacert.cftest5.cn/cnmg/live/624878440
CCTV15音乐,https://live.chinacert.cftest5.cn/cnmg/live/673168223
CCTV17农业农村,https://live.chinacert.cftest5.cn/cnmg/live/673168256
CGTN,https://live.chinacert.cftest5.cn/cnmg/live/609017205
CGTN外语纪录,https://live.chinacert.cftest5.cn/cnmg/live/609006487
CGTN阿拉伯语,https://live.chinacert.cftest5.cn/cnmg/live/609154345
CGTN西班牙语,https://live.chinacert.cftest5.cn/cnmg/live/609006450
CGTN法语,https://live.chinacert.cftest5.cn/cnmg/live/609006476
CGTN俄语,https://live.chinacert.cftest5.cn/cnmg/live/609006446

CCTV1综合,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV2财经,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV3综艺,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV4中文国际,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV5体育,http://74.91.26.218:82/live/cctv5hd.m3u8
CCTV5+体育赛事,http://74.91.26.218:82/live/cctv5p.m3u8
CCTV6电影,http://74.91.26.218:82/live/cctv6hd.m3u8
CCTV7国防军事,http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV8电视剧,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV9纪录,http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV10科教,http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV11戏曲,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV12社会与法,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV13新闻,http://74.91.26.218:82/live/cctv13hd.m3u8
CCTV14少儿,http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV15音乐,http://74.91.26.218:82/live/cctv15hd.m3u8
CCTV16奥利匹克,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV17农业农村,http://74.91.26.218:82/live/cctv17hd.m3u8
老故事,https://live.chinacert.cftest5.cn/cnmg/live/884121956
发现之旅,https://live.chinacert.cftest5.cn/cnmg/live/624878970
中学生,https://live.chinacert.cftest5.cn/cnmg/live/708869532

🛰️卫视频道,#genre#
北京卫视,https://live.chinacert.cftest5.cn/zgst/live/beijing
天津卫视,https://live.chinacert.cftest5.cn/zgst/live/tianjin
河北卫视,https://live.chinacert.cftest5.cn/zgst/live/hebei
山西卫视,https://live.chinacert.cftest5.cn/zgst/live/shanxi
内蒙古卫视,https://live.chinacert.cftest5.cn/zgst/live/neimenggu
辽宁卫视,https://live.chinacert.cftest5.cn/zgst/live/liaoning
吉林卫视,https://live.chinacert.cftest5.cn/zgst/live/jilin
黑龙江卫视,https://live.chinacert.cftest5.cn/zgst/live/heilongjiang
东方卫视,https://live.chinacert.cftest5.cn/zgst/live/dongfang
江苏卫视,https://live.chinacert.cftest5.cn/zgst/live/jiangsu
浙江卫视,https://live.chinacert.cftest5.cn/zgst/live/zhejiang
安徽卫视,https://live.chinacert.cftest5.cn/zgst/live/anhui
东南卫视,https://live.chinacert.cftest5.cn/zgst/live/dongnan
江西卫视,https://live.chinacert.cftest5.cn/zgst/live/jiangxi
山东卫视,https://live.chinacert.cftest5.cn/zgst/live/shandong
河南卫视,https://live.chinacert.cftest5.cn/zgst/live/henan
湖北卫视,https://live.chinacert.cftest5.cn/zgst/live/hubei
湖南卫视,https://live.chinacert.cftest5.cn/zgst/live/hunan
广东卫视,https://live.chinacert.cftest5.cn/zgst/live/guangdong
广西卫视,https://live.chinacert.cftest5.cn/zgst/live/guangxi
海南卫视,https://live.chinacert.cftest5.cn/zgst/live/hainan
重庆卫视,https://live.chinacert.cftest5.cn/zgst/live/zhongqing
四川卫视,https://live.chinacert.cftest5.cn/zgst/live/sichuan
贵州卫视,https://live.chinacert.cftest5.cn/zgst/live/guizhou
云南卫视,https://live.chinacert.cftest5.cn/zgst/live/yunnan
西藏卫视,https://live.chinacert.cftest5.cn/zgst/live/xizang
陕西卫视,https://live.chinacert.cftest5.cn/zgst/live/shanxi1
甘肃卫视,https://live.chinacert.cftest5.cn/zgst/live/gansu
青海卫视,https://live.chinacert.cftest5.cn/zgst/live/qinghai
宁夏卫视,https://live.chinacert.cftest5.cn/zgst/live/ningxia
新疆卫视,https://live.chinacert.cftest5.cn/zgst/live/xinjiang
兵团卫视,https://live.chinacert.cftest5.cn/zgst/live/bingtuan
深圳卫视,https://live.chinacert.cftest5.cn/zgst/live/shenzhen
厦门卫视,https://live.chinacert.cftest5.cn/zgst/live/xiamen
三沙卫视,https://live.chinacert.cftest5.cn/zgst/live/sansha
大湾区卫视,https://live.chinacert.cftest5.cn/cnmg/live/608917627
海峡卫视,https://live.chinacert.cftest5.cn/cnmg/live/849119120
中国农林卫视,https://live.chinacert.cftest5.cn/cnmg/live/956904896

北京卫视,http://k.061899.xyz/m.php?id=bjws 
东方卫视4K,http://k.061899.xyz/m.php?id=dfws 
浙江卫视4K,http://k.061899.xyz/m.php?id=zjws 
江苏卫视4K,http://k.061899.xyz/m.php?id=jsws 
湖南卫视4K,http://k.061899.xyz/m.php?id=hunws 
广东卫视,http://k.061899.xyz/m.php?id=gdws 
深圳卫视,http://k.061899.xyz/m.php?id=szws 
天津卫视,http://k.061899.xyz/m.php?id=tjws 
安徽卫视,http://k.061899.xyz/m.php?id=ahws 
山东卫视,http://k.061899.xyz/m.php?id=sdws
河北卫视,http://k.061899.xyz/m.php?id=hbws 
河南卫视,http://k.061899.xyz/m.php?id=hnws 
江西卫视,http://k.061899.xyz/m.php?id=jxws 
四川卫视,http://k.061899.xyz/m.php?id=scws 
重庆卫视,http://k.061899.xyz/m.php?id=cqws 
贵州卫视,http://k.061899.xyz/m.php?id=gzws 
湖北卫视,http://k.061899.xyz/m.php?id=hubws 
广西卫视,http://k.061899.xyz/m.php?id=gxws 
东南卫视,http://k.061899.xyz/m.php?id=dnws 
海南卫视,http://k.061899.xyz/m.php?id=hinws 
青海卫视,http://k.061899.xyz/m.php?id=qhws 
吉林卫视,http://k.061899.xyz/m.php?id=jlws 
兵团卫视,http://k.061899.xyz/m.php?id=btws 
西藏卫视,http://k.061899.xyz/m.php?id=xzws 
内蒙古卫视,http://k.061899.xyz/m.php?id=nmgws 
黑龙江卫视,http://k.061899.xyz/m.php?id=hljws
